start...
Epoch: 75 / 50000, Score: -500,  block: 26,  Reward: -123.2919 Cleared lines: 0, col: 0/0/0/0 
Epoch: 76 / 50000, Score: -500,  block: 24,  Reward: -186.3093 Cleared lines: 0, col: 0/0/0/0 
Epoch: 77 / 50000, Score: -500,  block: 19,  Reward: -117.9969 Cleared lines: 0, col: 0/0/0/0 
Epoch: 78 / 50000, Score: -500,  block: 22,  Reward: -109.2936 Cleared lines: 0, col: 0/0/0/0 
Epoch: 79 / 50000, Score: -500,  block: 22,  Reward: -85.0070 Cleared lines: 0, col: 0/0/0/0 
Epoch: 80 / 50000, Score: -500,  block: 19,  Reward: -100.1554 Cleared lines: 0, col: 0/0/0/0 
Epoch: 81 / 50000, Score: -500,  block: 24,  Reward: -145.7247 Cleared lines: 0, col: 0/0/0/0 
Epoch: 82 / 50000, Score: -500,  block: 20,  Reward: -111.0646 Cleared lines: 0, col: 0/0/0/0 
Epoch: 83 / 50000, Score: -500,  block: 22,  Reward: -127.6574 Cleared lines: 0, col: 0/0/0/0 
Epoch: 84 / 50000, Score: -500,  block: 24,  Reward: -103.7146 Cleared lines: 0, col: 0/0/0/0 
Epoch: 85 / 50000, Score: -500,  block: 23,  Reward: -175.8845 Cleared lines: 0, col: 0/0/0/0 
Epoch: 86 / 50000, Score: -500,  block: 24,  Reward: -117.1448 Cleared lines: 0, col: 0/0/0/0 
Epoch: 87 / 50000, Score: -500,  block: 30,  Reward: -192.9936 Cleared lines: 0, col: 0/0/0/0 
Epoch: 88 / 50000, Score: -500,  block: 30,  Reward: -179.1800 Cleared lines: 0, col: 0/0/0/0 
Epoch: 89 / 50000, Score: -500,  block: 19,  Reward: -140.4966 Cleared lines: 0, col: 0/0/0/0 
Epoch: 90 / 50000, Score: -500,  block: 17,  Reward: -145.2703 Cleared lines: 0, col: 0/0/0/0 
Epoch: 91 / 50000, Score: -500,  block: 17,  Reward: -106.1258 Cleared lines: 0, col: 0/0/0/0 
Epoch: 92 / 50000, Score: -500,  block: 20,  Reward: -98.9057 Cleared lines: 0, col: 0/0/0/0 
Epoch: 93 / 50000, Score: -500,  block: 14,  Reward: -60.1170 Cleared lines: 0, col: 0/0/0/0 
Epoch: 94 / 50000, Score: -500,  block: 22,  Reward: -184.9974 Cleared lines: 0, col: 0/0/0/0 
Epoch: 95 / 50000, Score: -500,  block: 18,  Reward: -71.1091 Cleared lines: 0, col: 0/0/0/0 
Epoch: 96 / 50000, Score: -500,  block: 21,  Reward: -136.7764 Cleared lines: 0, col: 0/0/0/0 
